measurement,run_num,scheduler,section,test_name,unit,value
section,0,vf-omp,.interp,08-sift_regression_vf-omp_image_size_512,bytes,28
section,0,vf-omp,.note.ABI-tag,08-sift_regression_vf-omp_image_size_512,bytes,32
section,0,vf-omp,.dynsym,08-sift_regression_vf-omp_image_size_512,bytes,1008
section,0,vf-omp,.gnu.version,08-sift_regression_vf-omp_image_size_512,bytes,84
section,0,vf-omp,.gnu.version_r,08-sift_regression_vf-omp_image_size_512,bytes,208
section,0,vf-omp,.gnu.hash,08-sift_regression_vf-omp_image_size_512,bytes,28
section,0,vf-omp,.dynstr,08-sift_regression_vf-omp_image_size_512,bytes,855
section,0,vf-omp,.rela.dyn,08-sift_regression_vf-omp_image_size_512,bytes,78120
section,0,vf-omp,.rela.plt,08-sift_regression_vf-omp_image_size_512,bytes,864
section,0,vf-omp,.rodata,08-sift_regression_vf-omp_image_size_512,bytes,39134
section,0,vf-omp,.eh_frame_hdr,08-sift_regression_vf-omp_image_size_512,bytes,908
section,0,vf-omp,.eh_frame,08-sift_regression_vf-omp_image_size_512,bytes,4320
section,0,vf-omp,.text,08-sift_regression_vf-omp_image_size_512,bytes,50276
section,0,vf-omp,.init,08-sift_regression_vf-omp_image_size_512,bytes,27
section,0,vf-omp,.fini,08-sift_regression_vf-omp_image_size_512,bytes,13
section,0,vf-omp,.plt,08-sift_regression_vf-omp_image_size_512,bytes,592
section,0,vf-omp,.data.rel.ro,08-sift_regression_vf-omp_image_size_512,bytes,8
section,0,vf-omp,.fini_array,08-sift_regression_vf-omp_image_size_512,bytes,8
section,0,vf-omp,.init_array,08-sift_regression_vf-omp_image_size_512,bytes,16
section,0,vf-omp,.dynamic,08-sift_regression_vf-omp_image_size_512,bytes,528
section,0,vf-omp,.got,08-sift_regression_vf-omp_image_size_512,bytes,48
section,0,vf-omp,.relro_padding,08-sift_regression_vf-omp_image_size_512,bytes,2416
section,0,vf-omp,.tm_clone_table,08-sift_regression_vf-omp_image_size_512,bytes,0
section,0,vf-omp,.data,08-sift_regression_vf-omp_image_size_512,bytes,85104
section,0,vf-omp,.got.plt,08-sift_regression_vf-omp_image_size_512,bytes,312
section,0,vf-omp,.bss,08-sift_regression_vf-omp_image_size_512,bytes,11008056
section,0,vf-omp,.comment,08-sift_regression_vf-omp_image_size_512,bytes,248
section,0,vf-omp,.annobin.notes,08-sift_regression_vf-omp_image_size_512,bytes,249
section,0,vf-omp,.gnu.build.attributes,08-sift_regression_vf-omp_image_size_512,bytes,324
section,0,vf-omp,.debug_abbrev,08-sift_regression_vf-omp_image_size_512,bytes,57
section,0,vf-omp,.debug_info,08-sift_regression_vf-omp_image_size_512,bytes,178
section,0,vf-omp,.debug_ranges,08-sift_regression_vf-omp_image_size_512,bytes,880
section,0,vf-omp,.debug_str,08-sift_regression_vf-omp_image_size_512,bytes,419
section,0,vf-omp,.debug_line,08-sift_regression_vf-omp_image_size_512,bytes,1776
